Модель,Класс,Тип,Цена (₽),Платформа,Монитор,Сенсорный экран,Порты датчиков,Накопитель,Батарея,Применение,Ключевые технологии,Описание
Resona i9W,Экспертный,Стационарный,По запросу,ZST+,"23.8"" LED","15.6""",5,"1TB HDD + 128GB SSD",4 часа,"Кардиология, акушерство, гинекология, гепатология, онкология, ангиология, радиология","UMA, iFusion, V Flow, Smart-модули, STIC, эластография","Экспертная система нового поколения с высочайшим качеством визуализации и интеллектуальной автоматизацией"
Resona 7s,Премиальный,Стационарный,от 3 724 000,ZST+,"21.5"" LED","13.3""",4,"1TB HDD + 120GB SSD",—,"Кардиология, акушерство, гинекология, ангиология, онкология, неонатология, педиатрия","Sound Touch Elastography, iFusion, Tissue Tracking, Dynamic Pixel Focusing","Премиум-система с передовыми технологиями и диагностической гибкостью"
Consona N9P,Высокий,Стационарный,По запросу,ZST+,"23.8"" Full HD LED","15.6"" (два)",5,1TB HDD,1 час,"Акушерство, онкология, кардиология, общая диагностика","Smart OB, эластография, Glazing Flow, HR-flow, Smart Thyroid/Breast, DICOM","Новинка, сделано в России. Раннее выявление пороков развития плода"
Consona N7P,Высокий,Стационарный,По запросу,ZST+,"21.5"" Full HD LED","13.3""",5,1TB HDD,1 час,"Абдоминальные, кардио, сосуды, малый таз, акушерство, педиатрия","Smart OB, Smart HRI, iNeedle, Glazing Flow, эластография, Tissue Tracking QA","Универсальная система высокого класса, сделано в России"
Resona R9,Премиальный,Стационарный,от 6 463 000,ZST+,"23.8"" LED","13.3""",—,"1TB HDD + 120GB SSD",—,"Абдоминальная, онкология, эндокринология, гепатология, сосуды","Ultra Micro Angiography, HiFR CEUS, M-Reference, STE, оценка стеатоза/фиброза","Премиальная система для сложных клинических случаев, 20+ типов датчиков"
Imagyn R9,Премиальный,Стационарный,от 6 090 000,ZST+,"23.8"" LED","13.3""",—,"1TB HDD + 120GB SSD",—,"Акушерство, гинекология, репродуктивные технологии, ЭКО","SSC, Focus Free, Smart Doppler, Smart Track, 3D, эластография","Специализированная система для женского здоровья и репродуктологии"
Recho N9,Экспертный,Стационарный,от 2 204 000,ZST+,—,"15.6""",5,512GB SSD,1 час,"Кардиология, ангиология, акушерство, общая диагностика, онкология","Auto EF, Stress Echo, TDI QA, R-VQS, 3D/4D","Специализированная система для кардиологии и ангиологии"
MX7,Экспертный,Портативный,от 1 650 500,ZST+,—,—,—,128GB HDD,8 часов,"Онкология, кардиология, малый таз, акушерство","HD Scope, iBeam, iClear, Smart OB, Smart NT, TDI, R-IMT","Один из самых легких и тонких УЗИ-сканеров на рынке"
TEAir i3P,Point of Care,Портативный (беспроводной),от 240 000,eWave,—,—,—,—,Литий-ионная,"Интенсивная терапия, анестезиология, экстренная медицина, травматология, спорт","iClear, iTouch, Smart Bladder, AutoEF, TDI","Беспроводной зонд, IP68, магнитная зарядка, минимальный размер"
Imagyn i9,Экспертный,Стационарный,от 3 792 000,ZST+,"23.8"" LED","15.6""",5,"1TB HDD + 128GB SSD",4 часа,"Акушерство, гинекология, неонатология, кардиология, общая диагностика","Smart OB/Face/NT, Smart Pelvic, Smart Hip, iLive, эластография, CEUS","Экспертный аппарат для акушерства и гинекологии с 3D/4D"
DC-80,Экспертный,Стационарный,от 2 617 000,X-Insight,"23.8"" Full HD LED","13.3""",4,"1TB HDD + 128GB SSD",Есть,"Кардиология, акушерство, гинекология, онкология, ангиология","Sound Touch Elastography, Color 3D, Auto-IMT, Smart OB/NT/Face","Экспертная стационарная система на платформе X-Insight"
ME7,Экспертный,Портативный,"По запросу (~992 000)",ZST+,"15.6"" LED",—,—,256GB SSD,Литий-ионная,"Анестезиология, интенсивная терапия, общая практика, неотложная помощь, кардиология","iNeedle, Smart B-line, LVO, Smart 3D, TDI, AutoEF","Компактный (3 кг, 44 мм), экспертный портативный аппарат"
Resona i9,Экспертный,Стационарный,от 3 700 000,ZST+,"23.8"" LED","15.6""",5,"1TB HDD + 128GB SSD",4 часа,"Абдоминальные, кардио, сосуды, гинекология, урология","Natural Touch / Sound Touch Elastography, Smart Breast/Thyroid, iFusion, CEUS","Экспертная система для комплексных исследований"
MX7s,Экспертный,Портативный,от 979 000,ZST+,"15.6"" LED",—,—,256GB SSD,8 часов,"Кардиология, анестезиология, абдоминальные, урология, акушерство, косметология, скорая","iNeedle, Natural Touch Elastography, Smart NT, HR Flow, TDI","Компактный (3 кг), до 8 часов работы, универсальная мобильная диагностика"
M6,Средний,Портативный,от 609 400,—,"15""",—,—,—,90 минут,"Акушерство, гинекология, кардиология, общая диагностика, биопсия","Smart OB, TDI/TDI QA, Strain Elastography, iNeedle, UWN+ Contrast, Auto-IMT","Универсальный аппарат для плановой и экстренной диагностики"
DC-90,Экспертный,Стационарный,от 2 700 000,X-Insight + ZST+,"23.8"" Full HD LED","13.3""",5,"1TB HDD + 120GB SSD",Есть,"Кардиология, акушерство, гинекология, онкология, ангиология, радиология","iFusion, ZST+, эластография, Smart OB/Pelvic/FLC, 3D/4D, Contrast","Комплексная диагностическая система с интеграцией КТ/МРТ/ПЭТ"
Consona N8,Высокий,Стационарный,от 1 771 000,ZST+,"21.5"" Full HD LED","15.6""",5,1TB HDD,1 час,"Кардиология, акушерство, гинекология, онкология, ангиология, педиатрия","Smart OB, Smart Pelvic, Smart Hip, Auto EF, эластография, 3D/4D","Инновационная система для общей визуализации и кардиодиагностики"
Consona N7,Высокий,Стационарный,от 1 546 000,ZST+,"21.5"" Full HD LED","13.3""",4,1TB HDD,1 час,"Абдоминальные, кардио, гинекология, акушерство, онкология, ангиология","Smart HRI, Smart OB/Face, Sound Touch Elastography, 3D/4D, CEUS, TDI","Многопрофильная система высокого класса"
Consona N9,Высокий,Стационарный,от 2 558 000,ZST+,"23.8""","15.6""",5,512GB SSD,1 час,"Акушерство, кардиология, онкология, ангиология, гинекология, неонатология","Smart OB/NT, эластография, контрастная визуализация, 3D/4D, TDI, iFusion","Первый аппарат линейки Consona, высочайшее качество изображения"
Consona N6,Средний,Стационарный,от 1 052 000,ZST+,"21.5"" Full HD LED","13.3""",4,1TB HDD,1 час,"Акушерство, кардиология, гинекология, онкология, ангиология","Smart OB, 3D/4D, эластография, контрастирование, Tissue Tracking","Средний класс линейки Consona для широкого спектра исследований"
TE7,Высокий,Планшетный,По запросу (~992 000),—,"15"" сенсорный",—,4,120GB HDD,2 часа,"Операционная, интервенционная диагностика","iNeedle, Free Xros M, Auto-IMT, Smart 3D, TDI","Планшетный аппарат для диагностики в операционной"
M8,Высокий,Портативный,от 1 527 000,mQudro,"15""",—,—,256GB SSD,—,"Реанимация, хирургия, травматология, кардиология, гастроэнтерология","Natural Touch Elastography, TDI/TDI QA, Smart OB/NT, 3D/4D, iPage+","Портативный аппарат высокого класса для реанимации и хирургии"
M9T,Экспертный,Портативный,от 1 646 000,mQudro,"15"" LED",—,—,256GB SSD,1.5 часа,"Акушерство, гинекология, кардиология, общая диагностика, эластография","Smart OB/NT, TDI/TDI QA, Natural Touch Elastography, 3D/4D, UWN+ Contrast, iPage+","Портативный экспертный аппарат для акушерства и кардиологии"
